,UserID,Buy_ticket,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,number_of_adults,Daily_Avg_mins_spend_on_traveling_page
0,1000001,Yes,307.0,Mobile,38570.0,1,2,Financial,94.0,5993.0,8.0,Yes,11.0,No,1.0,0.0,8.0
1,1000002,No,367.0,Mobile,9765.0,1,1,Financial,61.0,5130.0,1.0,No,23.0,Yes,4.0,1.0,10.0
2,1000003,Yes,277.0,Mobile,48055.0,1,2,Other,92.0,2090.0,6.0,Yes,15.0,No,2.0,0.0,7.0
3,1000004,No,247.0,Mobile,48720.0,1,4,Financial,56.0,2909.0,1.0,Yes,11.0,No,3.0,0.0,8.0
4,1000005,No,202.0,Mobile,20685.0,1,1,Medical,40.0,3468.0,9.0,No,12.0,No,4.0,1.0,6.0
5,1000006,No,240.0,Mobile,35175.0,1,2,Financial,79.0,3068.0,0.0,No,13.0,No,3.0,0.0,8.0
8,1000009,No,285.0,Mobile,7560.0,23,3,Financial,44.0,9526.0,0.0,No,21.0,Yes,2.0,0.0,10.0
10,1000011,No,262.0,Mobile,28315.0,16,3,Medical,84.0,2426.0,0.0,No,13.0,No,3.0,1.0,6.0
12,1000013,No,232.0,Mobile,23450.0,26,1,Financial,31.0,2911.0,1.0,No,17.0,No,4.0,1.0,5.0
13,1000014,No,255.0,Mobile,47110.0,19,2,Medical,93.0,2661.0,0.0,No,11.0,No,3.0,1.0,3.0
14,1000015,Yes,210.0,Mobile,3605.0,24,3,Financial,50.0,2028.0,5.0,Yes,14.0,No,2.0,0.0,6.0
15,1000016,No,217.0,Mobile,48615.0,21,4,Financial,51.0,9980.0,1.0,No,11.0,No,3.0,1.0,10.0
18,1000019,No,397.0,Mobile,42665.0,1,4,Financial,78.0,15427.0,2.0,No,16.0,No,3.0,0.0,31.0
19,1000020,No,285.0,Mobile,12985.0,1,3,Financial,45.0,3944.0,5.0,Yes,11.0,No,3.0,0.0,6.0
